x,y
0.010204,0.005154
0.030612,0.005568
0.051020,0.006397
0.071429,0.007640
0.091837,0.009298
0.112245,0.011370
0.132653,0.013856
0.153061,0.016757
0.173469,0.020072
0.193878,0.023802
0.214286,0.027946
0.234694,0.032504
0.255102,0.037476
0.275510,0.042864
0.295918,0.048665
0.316327,0.054881
0.336735,0.061511
0.357143,0.068556
0.377551,0.076015
0.397959,0.083888
0.418367,0.092176
0.438776,0.100878
0.459184,0.109995
0.479592,0.119526
0.500000,0.129471
0.520408,0.139831
0.540816,0.150605
0.561224,0.161793
0.581633,0.173396
0.602041,0.185414
0.622449,0.197845
0.642857,0.210691
0.663265,0.223952
0.683673,0.237627
0.704082,0.251716
0.724490,0.266220
0.744898,0.281138
0.765306,0.296470
0.785714,0.312217
0.806122,0.328378
0.826531,0.344954
0.846939,0.361944
0.867347,0.379348
0.887755,0.397167
0.908163,0.415400
0.928571,0.434047
0.948980,0.453109
0.969388,0.472586
0.989796,0.492476
1.010204,0.502525
1.030612,0.502525
1.051020,0.502525
1.071429,0.502525
1.091837,0.502525
1.112245,0.502525
1.132653,0.502525
1.153061,0.502525
1.173469,0.502525
1.193878,0.502525
1.214286,0.502525
1.234694,0.502525
1.255102,0.502525
1.275510,0.502525
1.295918,0.502525
1.316327,0.502525
1.336735,0.502525
1.357143,0.502525
1.377551,0.502525
1.397959,0.502525
1.418367,0.502525
1.438776,0.502525
1.459184,0.502525
1.479592,0.502525
1.500000,0.502525
1.520408,0.502525
1.540816,0.502525
1.561224,0.502525
1.581633,0.502525
1.602041,0.502525
1.622449,0.502525
1.642857,0.502525
1.663265,0.502525
1.683673,0.502525
1.704082,0.502525
1.724490,0.502525
1.744898,0.502525
1.765306,0.502525
1.785714,0.502525
1.806122,0.502525
1.826531,0.502525
1.846939,0.502525
1.867347,0.502525
1.887755,0.502525
1.908163,0.502525
1.928571,0.502525
1.948980,0.502525
1.969388,0.502525
1.989796,0.502525
2.010204,0.502525
