x,y,cell_number,p_stat, vel_u, vel_v
0.010204,0.005154,0,101344.505451,2.983093,0.023451
0.010204,0.015254,1,101344.420194,3.014102,0.047115
0.010204,0.025354,2,101344.332200,3.040117,0.049274
0.010204,0.035454,3,101344.238308,3.065979,0.051519
0.010204,0.045554,4,101344.140463,3.092336,0.052985
0.010204,0.055654,5,101344.039485,3.119147,0.054045
0.010204,0.065754,6,101343.935946,3.146310,0.054829
0.010204,0.075854,7,101343.830224,3.173752,0.055423
0.010204,0.085954,8,101343.722591,3.201415,0.055882
0.010204,0.096054,9,101343.613245,3.229254,0.056238
0.010204,0.106154,10,101343.502341,3.257233,0.056516
0.010204,0.116254,11,101343.390001,3.285321,0.056730
0.010204,0.126354,12,101343.276326,3.313494,0.056892
0.010204,0.136454,13,101343.161403,3.341730,0.057011
0.010204,0.146554,14,101343.045307,3.370011,0.057091
0.010204,0.156653,15,101342.928106,3.398320,0.057137
0.010204,0.166753,16,101342.809865,3.426641,0.057153
0.010204,0.176853,17,101342.690641,3.454961,0.057141
0.010204,0.186953,18,101342.570492,3.483268,0.057103
0.010204,0.197053,19,101342.449473,3.511548,0.057040
0.010204,0.207153,20,101342.327637,3.539790,0.056954
0.010204,0.217253,21,101342.205037,3.567984,0.056845
0.010204,0.227353,22,101342.081727,3.596117,0.056715
0.010204,0.237453,23,101341.957759,3.624181,0.056564
0.010204,0.247553,24,101341.833187,3.652164,0.056392
0.010204,0.257653,25,101341.708065,3.680057,0.056200
0.010204,0.267753,26,101341.582446,3.707850,0.055988
0.010204,0.277853,27,101341.456387,3.735532,0.055756
0.010204,0.287953,28,101341.329942,3.763095,0.055505
0.010204,0.298053,29,101341.203169,3.790528,0.055234
0.010204,0.308153,30,101341.076125,3.817823,0.054945
0.010204,0.318253,31,101340.948869,3.844969,0.054636
0.010204,0.328353,32,101340.821460,3.871957,0.054308
0.010204,0.338453,33,101340.693959,3.898778,0.053961
0.010204,0.348553,34,101340.566427,3.925423,0.053595
0.010204,0.358653,35,101340.438926,3.951881,0.053211
0.010204,0.368753,36,101340.311519,3.978145,0.052807
0.010204,0.378853,37,101340.184271,4.004204,0.052386
0.010204,0.388953,38,101340.057246,4.030050,0.051946
0.010204,0.399052,39,101339.930509,4.055673,0.051487
0.010204,0.409152,40,101339.804127,4.081065,0.051010
0.010204,0.419252,41,101339.678167,4.106216,0.050515
0.010204,0.429352,42,101339.552695,4.131118,0.050003
0.010204,0.439452,43,101339.427781,4.155760,0.049472
0.010204,0.449552,44,101339.303493,4.180136,0.048923
0.010204,0.459652,45,101339.179899,4.204235,0.048357
0.010204,0.469752,46,101339.057070,4.228050,0.047773
0.010204,0.479852,47,101338.935074,4.251570,0.047172
0.010204,0.489952,48,101338.813981,4.274790,0.046554
0.010204,0.500052,49,101338.693862,4.297698,0.045919
0.010204,0.510152,50,101338.574787,4.320288,0.045268
0.010204,0.520252,51,101338.456825,4.342551,0.044599
0.010204,0.530352,52,101338.340046,4.364479,0.043915
0.010204,0.540452,53,101338.224521,4.386063,0.043215
0.010204,0.550552,54,101338.110319,4.407297,0.042498
0.010204,0.560652,55,101337.997509,4.428173,0.041767
0.010204,0.570752,56,101337.886161,4.448682,0.041020
0.010204,0.580852,57,101337.776341,4.468817,0.040258
0.010204,0.590952,58,101337.668120,4.488571,0.039481
0.010204,0.601052,59,101337.561563,4.507936,0.038690
0.010204,0.611152,60,101337.456738,4.526906,0.037885
0.010204,0.621252,61,101337.353710,4.545474,0.037066
0.010204,0.631352,62,101337.252545,4.563633,0.036234
0.010204,0.641451,63,101337.153307,4.581376,0.035388
0.010204,0.651551,64,101337.056059,4.598697,0.034530
0.010204,0.661651,65,101336.960863,4.615589,0.033659
0.010204,0.671751,66,101336.867781,4.632047,0.032776
0.010204,0.681851,67,101336.776873,4.648064,0.031881
0.010204,0.691951,68,101336.688198,4.663635,0.030974
0.010204,0.702051,69,101336.601814,4.678754,0.030056
0.010204,0.712151,70,101336.517777,4.693416,0.029127
0.010204,0.722251,71,101336.436142,4.707614,0.028188
0.010204,0.732351,72,101336.356963,4.721345,0.027238
0.010204,0.742451,73,101336.280294,4.734603,0.026279
0.010204,0.752551,74,101336.206184,4.747383,0.025310
0.010204,0.762651,75,101336.134684,4.759681,0.024331
0.010204,0.772751,76,101336.065841,4.771491,0.023344
0.010204,0.782851,77,101335.999704,4.782811,0.022347
0.010204,0.792951,78,101335.936316,4.793634,0.021342
0.010204,0.803051,79,101335.875723,4.803958,0.020329
0.010204,0.813151,80,101335.817966,4.813779,0.019308
0.010204,0.823251,81,101335.763087,4.823091,0.018279
0.010204,0.833351,82,101335.711127,4.831892,0.017243
0.010204,0.843451,83,101335.662124,4.840178,0.016198
0.010204,0.853551,84,101335.616117,4.847945,0.015146
0.010204,0.863651,85,101335.573144,4.855190,0.014086
0.010204,0.873751,86,101335.533242,4.861907,0.013018
0.010204,0.883850,87,101335.496449,4.868095,0.011940
0.010204,0.893950,88,101335.462804,4.873747,0.010853
0.010204,0.904050,89,101335.432351,4.878861,0.009754
0.010204,0.914150,90,101335.405135,4.883430,0.008642
0.010204,0.924250,91,101335.381212,4.887449,0.007511
0.010204,0.934350,92,101335.360653,4.890910,0.006355
0.010204,0.944450,93,101335.343550,4.893805,0.005162
0.010204,0.954550,94,101335.330041,4.896123,0.003911
0.010204,0.964650,95,101335.320346,4.897849,0.002570
0.010204,0.974750,96,101335.314793,4.898984,0.001011
0.010204,0.984850,97,101335.314343,4.897968,-0.000388
0.010204,0.994950,98,101335.317103,4.894952,-0.000464
0.030612,0.005568,99,101344.561793,2.964506,0.058033
0.030612,0.015664,100,101344.437045,3.006228,0.106981
0.030612,0.025760,101,101344.342427,3.034862,0.102155
0.030612,0.035856,102,101344.242419,3.062485,0.105686
0.030612,0.045951,103,101344.141091,3.089848,0.107562
0.030612,0.056047,104,101344.037809,3.117384,0.109148
0.030612,0.066143,105,101343.932692,3.145061,0.110392
0.030612,0.076239,106,101343.825835,3.172883,0.111381
0.030612,0.086335,107,101343.717348,3.200833,0.112168
0.030612,0.096430,108,101343.607335,3.228897,0.112795
0.030612,0.106526,109,101343.495893,3.257054,0.113290
0.030612,0.116622,110,101343.383104,3.285291,0.113676
0.030612,0.126718,111,101343.269046,3.313588,0.113969
0.030612,0.136813,112,101343.153788,3.341932,0.114183
0.030612,0.146909,113,101343.037393,3.370306,0.114325
0.030612,0.157005,114,101342.919921,3.398699,0.114404
0.030612,0.167101,115,101342.801430,3.427097,0.114425
0.030612,0.177196,116,101342.681973,3.455489,0.114392
0.030612,0.187292,117,101342.561605,3.483861,0.114309
0.030612,0.197388,118,101342.440377,3.512204,0.114178
0.030612,0.207484,119,101342.318341,3.540506,0.114001
0.030612,0.217579,120,101342.195549,3.568757,0.113780
0.030612,0.227675,121,101342.072052,3.596947,0.113516
0.030612,0.237771,122,101341.947903,3.625065,0.113211
0.030612,0.247867,123,101341.823154,3.653101,0.112864
0.030612,0.257962,124,101341.697858,3.681046,0.112478
0.030612,0.268058,125,101341.572070,3.708889,0.112052
0.030612,0.278154,126,101341.445843,3.736623,0.111586
0.030612,0.288250,127,101341.319234,3.764235,0.111082
0.030612,0.298345,128,101341.192298,3.791718,0.110539
0.030612,0.308441,129,101341.065095,3.819062,0.109958
0.030612,0.318537,130,101340.937681,3.846257,0.109338
0.030612,0.328633,131,101340.810116,3.873293,0.108681
0.030612,0.338728,132,101340.682461,3.900163,0.107986
0.030612,0.348824,133,101340.554776,3.926855,0.107253
0.030612,0.358920,134,101340.427125,3.953362,0.106483
0.030612,0.369016,135,101340.299570,3.979673,0.105676
0.030612,0.379111,136,101340.172174,4.005779,0.104831
0.030612,0.389207,137,101340.045004,4.031672,0.103950
0.030612,0.399303,138,101339.918124,4.057342,0.103032
0.030612,0.409399,139,101339.791601,4.082780,0.102077
0.030612,0.419494,140,101339.665501,4.107977,0.101086
0.030612,0.429590,141,101339.539892,4.132923,0.100059
0.030612,0.439686,142,101339.414842,4.157611,0.098996
0.030612,0.449782,143,101339.290420,4.182031,0.097898
0.030612,0.459877,144,101339.166695,4.206175,0.096764
0.030612,0.469973,145,101339.043736,4.230033,0.095596
0.030612,0.480069,146,101338.921613,4.253597,0.094392
0.030612,0.490165,147,101338.800396,4.276859,0.093155
0.030612,0.500260,148,101338.680154,4.299810,0.091884
0.030612,0.510356,149,101338.560959,4.322441,0.090580
0.030612,0.520452,150,101338.442879,4.344746,0.089242
0.030612,0.530548,151,101338.325985,4.366714,0.087872
0.030612,0.540643,152,101338.210347,4.388339,0.086470
0.030612,0.550739,153,101338.096034,4.409612,0.085037
0.030612,0.560835,154,101337.983116,4.430525,0.083573
0.030612,0.570931,155,101337.871662,4.451072,0.082078
0.030612,0.581026,156,101337.761740,4.471244,0.080553
0.030612,0.591122,157,101337.653419,4.491034,0.078998
0.030612,0.601218,158,101337.546764,4.510436,0.077415
0.030612,0.611314,159,101337.441844,4.529440,0.075804
0.030612,0.621409,160,101337.338724,4.548042,0.074165
