x,y,cell_number,p_stat, vel_u, vel_v
0.010204,0.005071,0,101345.939698,2.558692,0.012719
0.010204,0.015172,1,101345.899968,2.578078,0.030768
0.010204,0.025273,2,101345.842312,2.599313,0.040787
0.010204,0.035373,3,101345.770338,2.623025,0.048736
0.010204,0.045474,4,101345.686233,2.649928,0.055305
0.010204,0.055575,5,101345.591603,2.679566,0.060826
0.010204,0.065676,6,101345.487637,2.711556,0.065530
0.010204,0.075777,7,101345.375251,2.745584,0.069583
0.010204,0.085877,8,101345.255161,2.781389,0.073105
0.010204,0.095978,9,101345.127948,2.818756,0.076186
0.010204,0.106079,10,101344.994084,2.857497,0.078895
0.010204,0.116180,11,101344.853969,2.897456,0.081286
0.010204,0.126281,12,101344.707944,2.938493,0.083401
0.010204,0.136381,13,101344.556304,2.980488,0.085275
0.010204,0.146482,14,101344.399315,3.023333,0.086934
0.010204,0.156583,15,101344.237213,3.066932,0.088402
0.010204,0.166684,16,101344.070218,3.111197,0.089696
0.010204,0.176785,17,101343.898534,3.156049,0.090833
0.010204,0.186885,18,101343.722353,3.201416,0.091826
0.010204,0.196986,19,101343.541861,3.247231,0.092685
0.010204,0.207087,20,101343.357237,3.293430,0.093420
0.010204,0.217188,21,101343.168657,3.339957,0.094038
0.010204,0.227289,22,101342.976295,3.386755,0.094548
0.010204,0.237389,23,101342.780323,3.433774,0.094954
0.010204,0.247490,24,101342.580913,3.480963,0.095263
0.010204,0.257591,25,101342.378239,3.528278,0.095478
0.010204,0.267692,26,101342.172473,3.575672,0.095605
0.010204,0.277793,27,101341.963793,3.623103,0.095647
0.010204,0.287893,28,101341.752376,3.670531,0.095607
0.010204,0.297994,29,101341.538402,3.717917,0.095489
0.010204,0.308095,30,101341.322052,3.765221,0.095295
0.010204,0.318196,31,101341.103513,3.812408,0.095029
0.010204,0.328297,32,101340.882970,3.859442,0.094692
0.010204,0.338397,33,101340.660613,3.906290,0.094287
0.010204,0.348498,34,101340.436634,3.952918,0.093816
0.010204,0.358599,35,101340.211225,3.999295,0.093282
0.010204,0.368700,36,101339.984583,4.045390,0.092686
0.010204,0.378801,37,101339.756903,4.091172,0.092031
0.010204,0.388901,38,101339.528385,4.136613,0.091319
0.010204,0.399002,39,101339.299227,4.181686,0.090551
0.010204,0.409103,40,101339.069629,4.226363,0.089729
0.010204,0.419204,41,101338.839793,4.270618,0.088856
0.010204,0.429305,42,101338.609917,4.314426,0.087933
0.010204,0.439405,43,101338.380204,4.357763,0.086962
0.010204,0.449506,44,101338.150853,4.400606,0.085944
0.010204,0.459607,45,101337.922063,4.442932,0.084882
0.010204,0.469708,46,101337.694032,4.484720,0.083778
0.010204,0.479809,47,101337.466957,4.525949,0.082632
0.010204,0.489910,48,101337.241033,4.566599,0.081447
0.010204,0.500010,49,101337.016453,4.606651,0.080225
0.010204,0.510111,50,101336.793406,4.646088,0.078967
0.010204,0.520212,51,101336.572082,4.684891,0.077675
0.010204,0.530313,52,101336.352664,4.723046,0.076350
0.010204,0.540414,53,101336.135336,4.760535,0.074995
0.010204,0.550514,54,101335.920274,4.797344,0.073610
0.010204,0.560615,55,101335.707654,4.833459,0.072197
0.010204,0.570716,56,101335.497646,4.868867,0.070759
0.010204,0.580817,57,101335.290419,4.903555,0.069295
0.010204,0.590918,58,101335.086134,4.937511,0.067809
0.010204,0.601018,59,101334.884949,4.970725,0.066301
0.010204,0.611119,60,101334.687020,5.003186,0.064772
0.010204,0.621220,61,101334.492495,5.034884,0.063224
0.010204,0.631321,62,101334.301520,5.065810,0.061659
0.010204,0.641422,63,101334.114234,5.095956,0.060077
0.010204,0.651522,64,101333.930773,5.125314,0.058479
0.010204,0.661623,65,101333.751267,5.153877,0.056868
0.010204,0.671724,66,101333.575843,5.181638,0.055243
0.010204,0.681825,67,101333.404620,5.208590,0.053607
0.010204,0.691926,68,101333.237717,5.234729,0.051959
0.010204,0.702026,69,101333.075243,5.260049,0.050302
0.010204,0.712127,70,101332.917306,5.284545,0.048635
0.010204,0.722228,71,101332.764007,5.308214,0.046960
0.010204,0.732329,72,101332.615445,5.331050,0.045277
0.010204,0.742430,73,101332.471712,5.353051,0.043587
0.010204,0.752530,74,101332.332896,5.374214,0.041892
0.010204,0.762631,75,101332.199081,5.394536,0.040190
0.010204,0.772732,76,101332.070349,5.414013,0.038484
0.010204,0.782833,77,101331.946774,5.432645,0.036773
0.010204,0.792934,78,101331.828429,5.450428,0.035058
0.010204,0.803034,79,101331.715382,5.467360,0.033339
0.010204,0.813135,80,101331.607698,5.483441,0.031617
0.010204,0.823236,81,101331.505439,5.498669,0.029891
0.010204,0.833337,82,101331.408663,5.513041,0.028162
0.010204,0.843438,83,101331.317426,5.526557,0.026430
0.010204,0.853538,84,101331.231780,5.539215,0.024695
0.010204,0.863639,85,101331.151779,5.551013,0.022956
0.010204,0.873740,86,101331.077471,5.561950,0.021213
0.010204,0.883841,87,101331.008907,5.572024,0.019465
0.010204,0.893942,88,101330.946136,5.581232,0.017710
0.010204,0.904042,89,101330.889211,5.589572,0.015948
0.010204,0.914143,90,101330.838191,5.597040,0.014175
0.010204,0.924244,91,101330.793141,5.603633,0.012386
0.010204,0.934345,92,101330.754143,5.609343,0.010576
