x,y
0.000000,0.000000
0.000000,0.010101
0.000000,0.020202
0.000000,0.030303
0.000000,0.040404
0.000000,0.050505
0.000000,0.060606
0.000000,0.070707
0.000000,0.080808
0.000000,0.090909
0.000000,0.101010
0.000000,0.111111
0.000000,0.121212
0.000000,0.131313
0.000000,0.141414
0.000000,0.151515
0.000000,0.161616
0.000000,0.171717
0.000000,0.181818
0.000000,0.191919
0.000000,0.202020
0.000000,0.212121
0.000000,0.222222
0.000000,0.232323
0.000000,0.242424
0.000000,0.252525
0.000000,0.262626
0.000000,0.272727
0.000000,0.282828
0.000000,0.292929
0.000000,0.303030
0.000000,0.313131
0.000000,0.323232
0.000000,0.333333
0.000000,0.343434
0.000000,0.353535
0.000000,0.363636
0.000000,0.373737
0.000000,0.383838
0.000000,0.393939
0.000000,0.404040
0.000000,0.414141
0.000000,0.424242
0.000000,0.434343
0.000000,0.444444
0.000000,0.454545
0.000000,0.464646
0.000000,0.474747
0.000000,0.484848
0.000000,0.494949
0.000000,0.505051
0.000000,0.515152
0.000000,0.525253
0.000000,0.535354
0.000000,0.545455
0.000000,0.555556
0.000000,0.565657
0.000000,0.575758
0.000000,0.585859
0.000000,0.595960
0.000000,0.606061
0.000000,0.616162
0.000000,0.626263
0.000000,0.636364
0.000000,0.646465
0.000000,0.656566
0.000000,0.666667
0.000000,0.676768
0.000000,0.686869
0.000000,0.696970
0.000000,0.707071
0.000000,0.717172
0.000000,0.727273
0.000000,0.737374
0.000000,0.747475
0.000000,0.757576
0.000000,0.767677
0.000000,0.777778
0.000000,0.787879
0.000000,0.797980
0.000000,0.808081
0.000000,0.818182
0.000000,0.828283
0.000000,0.838384
0.000000,0.848485
0.000000,0.858586
0.000000,0.868687
0.000000,0.878788
0.000000,0.888889
0.000000,0.898990
0.000000,0.909091
0.000000,0.919192
0.000000,0.929293
0.000000,0.939394
0.000000,0.949495
0.000000,0.959596
0.000000,0.969697
0.000000,0.979798
0.000000,0.989899
0.000000,1.000000
0.020408,0.000208
0.020408,0.010307
0.020408,0.020406
0.020408,0.030505
0.020408,0.040604
0.020408,0.050703
0.020408,0.060802
0.020408,0.070901
0.020408,0.080999
0.020408,0.091098
0.020408,0.101197
0.020408,0.111296
0.020408,0.121395
0.020408,0.131494
0.020408,0.141593
0.020408,0.151692
0.020408,0.161791
0.020408,0.171890
0.020408,0.181989
0.020408,0.192087
0.020408,0.202186
0.020408,0.212285
0.020408,0.222384
0.020408,0.232483
0.020408,0.242582
0.020408,0.252681
0.020408,0.262780
0.020408,0.272879
0.020408,0.282978
0.020408,0.293077
0.020408,0.303175
0.020408,0.313274
0.020408,0.323373
0.020408,0.333472
0.020408,0.343571
0.020408,0.353670
0.020408,0.363769
0.020408,0.373868
0.020408,0.383967
0.020408,0.394066
0.020408,0.404165
0.020408,0.414263
0.020408,0.424362
0.020408,0.434461
0.020408,0.444560
0.020408,0.454659
0.020408,0.464758
0.020408,0.474857
0.020408,0.484956
0.020408,0.495055
0.020408,0.505154
0.020408,0.515252
0.020408,0.525351
0.020408,0.535450
0.020408,0.545549
0.020408,0.555648
0.020408,0.565747
0.020408,0.575846
0.020408,0.585945
0.020408,0.596044
0.020408,0.606143
0.020408,0.616242
0.020408,0.626340
0.020408,0.636439
0.020408,0.646538
0.020408,0.656637
0.020408,0.666736
0.020408,0.676835
0.020408,0.686934
0.020408,0.697033
0.020408,0.707132
0.020408,0.717231
0.020408,0.727330
0.020408,0.737428
0.020408,0.747527
0.020408,0.757626
0.020408,0.767725
0.020408,0.777824
0.020408,0.787923
0.020408,0.798022
0.020408,0.808121
0.020408,0.818220
0.020408,0.828319
0.020408,0.838417
0.020408,0.848516
0.020408,0.858615
