x,y
2.010204,0.502525
2.010204,0.507576
2.010204,0.512626
2.010204,0.517677
2.010204,0.522727
2.010204,0.527778
2.010204,0.532828
2.010204,0.537879
2.010204,0.542929
2.010204,0.547980
2.010204,0.553030
2.010204,0.558081
2.010204,0.563131
2.010204,0.568182
2.010204,0.573232
2.010204,0.578283
2.010204,0.583333
2.010204,0.588384
2.010204,0.593434
2.010204,0.598485
2.010204,0.603535
2.010204,0.608586
2.010204,0.613636
2.010204,0.618687
2.010204,0.623737
2.010204,0.628788
2.010204,0.633838
2.010204,0.638889
2.010204,0.643939
2.010204,0.648990
2.010204,0.654040
2.010204,0.659091
2.010204,0.664141
2.010204,0.669192
2.010204,0.674242
2.010204,0.679293
2.010204,0.684343
2.010204,0.689394
2.010204,0.694444
2.010204,0.699495
2.010204,0.704545
2.010204,0.709596
2.010204,0.714646
2.010204,0.719697
2.010204,0.724747
2.010204,0.729798
2.010204,0.734848
2.010204,0.739899
2.010204,0.744949
2.010204,0.750000
2.010204,0.755051
2.010204,0.760101
2.010204,0.765152
2.010204,0.770202
2.010204,0.775253
2.010204,0.780303
2.010204,0.785354
2.010204,0.790404
2.010204,0.795455
2.010204,0.800505
2.010204,0.805556
2.010204,0.810606
2.010204,0.815657
2.010204,0.820707
2.010204,0.825758
2.010204,0.830808
2.010204,0.835859
2.010204,0.840909
2.010204,0.845960
2.010204,0.851010
2.010204,0.856061
2.010204,0.861111
2.010204,0.866162
2.010204,0.871212
2.010204,0.876263
2.010204,0.881313
2.010204,0.886364
2.010204,0.891414
2.010204,0.896465
2.010204,0.901515
2.010204,0.906566
2.010204,0.911616
2.010204,0.916667
2.010204,0.921717
2.010204,0.926768
2.010204,0.931818
2.010204,0.936869
2.010204,0.941919
2.010204,0.946970
2.010204,0.952020
2.010204,0.957071
2.010204,0.962121
2.010204,0.967172
2.010204,0.972222
2.010204,0.977273
2.010204,0.982323
2.010204,0.987374
2.010204,0.992424
2.010204,0.997475
